"Date","TP_Testing_Party","Type","Yield_in_Kilotons","Latitude_in_degrees","Longitude_in_degrees","Name_of_explosion"
"19611213","US","SHFT","0.50","","","MAD"
"19611217","US","SHFT","LOW","","","RINGTAIL"
"19611222","US","TUNN","LOW","","","FEATHER"
"19620109","US","SHFT","5.1","","","STOAT"
"19620118","US","SHFT","6.4","","","AGOUTI"
"19620130","US","SHFT","LOW","","","DORMOUSE"
"19620202","CP","UNDG","l20","49.777N","078.001E",""
"19620208","US","SHFT","3.07","","","STILLWAT"
"19620209","US","SHFT","7.1","","","ARMADILO"
"19620215","US","SHFT","5.7","","","HARD HAT"
"19620219","US","SHFT","1.9","","","CHINCHIL"
"19620219","US","SHFT","LOW","","","CODSAW"
"19620223","US","SHFT","11.90","","","CIMARRON"
"19620224","US","SHFT","LOW","","","PLATYPUS"
"19620301","GB","SHFT","LOW","","","PAMPAS"
"19620305","US","CRAT","0.43","","","DANNYBOY"
"19620306","US","SHFT","LOW","","","ERMINE"
"19620308","US","SHFT","8.4","","","BRAZOS"
"19620315","US","SHFT","LOW","","","HOGNOSE"
"19620328","US","SHFT","3.40","","","HOOSIC"
"19620331","US","SHFT","LOW","","","CHINCHI2"
"19620405","US","SHFT","10.6","","","DORMOUSp"
"19620406","US","SHFT","LOW","","","PASSAIC"
"19620412","US","SHFT","LOW","","","HUDSON"
"19620414","US","TUNN","1.85","","","PLATTE"
"19620421","US","SHFT","LOW","","","DEAD"
"19620425","US","AIRD","0-1000","","","ADOBE"
"19620427","US","AIRD","0-1000","","","AZTEC"
"19620427","US","SHFT","LOW","","","BLACK"
"19620501","FR","TUNN","g20","24.063N","005.042E","BERYL"
"19620502","US","AIRD","W 1000","","","ARKANSAS"
"19620504","US","AIRD","0-1000","","","QUESTA"
"19620506","US","ROCH","600","","","FRIGATEB"
"19620507","US","SHFT","LOW","","","PACA"
"19620508","US","AIRD","0-1000","","","YUKON"
"19620509","US","AIRD","0-1000","","","MESILLA"
"19620510","US","SHFT","LOW","","","ARIKAREE"
"19620511","US","AIRD","0-1000","","","MUSKEGON"
"19620511","US","UNDW","LOW","","","SWORDFIS"
"19620512","US","AIRD","0-1000","","","ENCINO"
"19620512","US","SHFT","40","","","AARDVARK"
"19620514","US","AIRD","0-1000","","","SWANEE"
"19620519","US","SHFT","LOW","","","EEL"
"19620519","US","AIRD","0-1000","","","CHETCO"
"19620525","US","SHFT","LOW","","","WHITE"
"19620525","US","AIRD","LOW","","","TANANA"
"19620527","US","AIRD","0-1000","","","NAMBE"
"19620601","US","SHFT","LOW","","","RACCOON"
"19620606","US","SHFT","LOW","","","PACKRAT"
"19620608","US","AIRD","0-1000","","","ALMA"
"19620609","US","AIRD","0-1000","","","TRUCKEE"
"19620610","US","AIRD","g1000","","","YESO"
"19620612","US","AIRD","0-1000","","","HARLEM"
"19620613","US","TUNN","LOW","","","DESMOINE"
"19620615","US","AIRD","0-1000","","","RINCONAD"
"19620617","US","AIRD","0-1000","","","DULCE"
"19620619","US","AIRD","LOW","","","PETIT"
"19620621","US","SHFT","LOW","","","DAMAN 1"
"19620622","US","AIRD","0-1000","","","OTOWI"
"19620627","US","AIRD","g1000","","","BIGHORN"
"19620627","US","SHFT","67","","","HAYMAKER"
"19620628","US","TUNN","LOW","","","MARSHMAL"
"19620630","US","AIRD","g1000","","","BLUESTON"
"19620630","US","SHFT","LOW","","","SACRAMEN"
"19620706","US","CRAT","104","","","SEDAN"
"19620707","US","SURF","LOW","","","LFELLER1"
"19620709","US","ROCH","1400","","","STARFISH"
"19620710","US","AIRD","0-1000","","","SUNSET"
"19620711","US","AIRD","g1000","","","PAMLICO"
"19620711","US","CRAT","0.5","","","JOHNNIEB"
"19620713","US","SHFT","0-1000","","","MERRIMAC"
"19620714","US","TOWR","LOW","","","SMALLBOY"
"19620717","US","SURF","LOW","","","LFELLER2"
"19620727","US","SHFT","LOW","","","WICHITA"
"19620805","CP","ATMO","30000","73.000N","055.000E",""
"19620807","CP","ATMO","LOW","50.000N","078.000E",""
"19620810","CP","ATMO","l1000","73.000N","055.000E",""
"19620820","CP","ATMO","g1000","74.300N","051.500E",""
"19620822","CP","ATMO","g1000","73.000N","055.000E",""
"19620824","US","SHFT","LOW","","","YORK"
"19620824","US","SHFT","LOW","","","BOBAC"
"19620825","CP","ATMO","LOW","50.000N","078.000E",""
"19620825","CP","ATMO","g1000","73.000N","055.000E",""
"19620827","CP","ATMO","1000+","73.000N","055.000E",""
"19620901","CP","ATMO","","73.000N","055.000E",""
"19620902","CP","ATMO","20-150","73.000N","055.000E",""
"19620906","US","SHFT","LOW","","","RARITAN"
"19620908","CP","ATMO","g1000","73.000N","055.000E",""
"19620914","US","SHFT","LOW","","","HYRAX"
"19620915","CP","ATMO","g1000","74.400N","051.500E",""
"19620916","CP","ATMO","g1000","73.000N","055.000E",""
"19620918","CP","ATMO","g1000","73.200N","054.700E",""
"19620919","CP","ATMO","20000","73.800N","053.800E",""
"19620920","US","SHFT","LOW","","","PEBA"
"19620921","CP","ATMO","25000","73.000N","055.000E",""
"19620925","CP","","25000","73.000N","055.000E",""
"19620927","CP","ATMO","g1000","74.300N","052.400E",""
"19620929","US","SHFT","LOW","","","ALLEGHEN"
